C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117889666	325.0776834099	342.250665079618	229.496705858609	89.8635220660503	95.1545985950542	82.548954377234	765.088305926702	72.8079272176656	109.274301844211	91.9094854279166	97.0611424230521	120.164903344221
gene-LOC117889660	17.3238890845401	62.0393954827102	27.9117615233443	6.62152267855108	17.7761338034717	1.05831992791326	26.8452037167264	29.3122823863329	1.05071444080973	7.65912378565971	6.40969808454118	5.13525227966757
gene-LOC117889668	114.133857498147	288.483188994603	312.198221483333	210.942793902413	73.1958450731186	29.6329579815712	898.281816675075	107.793554581998	18.9128599345751	39.1466326822608	34.7955038875092	87.2992887543486
gene-LOC117889648	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889634	243.553499482652	515.960972431207	349.413903514458	173.10552145355	155.802584512781	191.5559069523	472.888588548488	151.289199413331	171.266453851985	142.119296911686	229.833459888548	92.4345410340162
gene-LOC117889670	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889671	10.190522990906	21.7137884189486	4.13507578123619	10.4052499234374	2.09130985923196	3.17495978373977	34.0727585635373	8.51001746699987	1.05071444080973	8.5101375396219	2.74701346480336	5.13525227966757
gene-LOC117889667	9911.30266095514	15177.9381048451	10035.8289210602	3064.81906835793	71.1045352138867	2273.27120515768	39642.1058269228	1821.14373793797	2526.96823014739	1749.68427814626	2178.38167758907	4577.56388209567
gene-LOC117892165	18.3429413836307	17.5778287201012	14.4727652343267	33.1076133927554	43.9175070438712	50.7993565398363	25.8126958814677	42.5500873349994	21.0142888161945	35.742577666412	31.1328192677714	14.3787063830692
gene-LOC117898628	6139.79010202084	6350.7661175801	5911.09082927714	6114.50322773631	5490.73403541351	5821.81792345083	5441.31629181338	5517.32799110492	5493.13509655325	5466.91235545311	6194.51536313158	6104.7879100688
gene-LOC117896600	2402.92532125563	2499.15364802851	2152.30694413344	2193.61587022285	2177.05356346047	2062.66553950294	2212.66429095941	1970.54182235864	2047.84244513816	2169.23405884962	2141.75483139169	1957.55816900928
gene-LOC117894609	6316.08614976351	7032.16547796521	6113.70954255771	6535.44288372991	7305.99099322686	6329.81148884919	4504.83168523374	6731.4238163969	6198.16448633657	6386.00720973228	7332.6946087151	6765.18135323405
gene-LOC117902127	22.4191505799931	28.9517178919314	19.6416099608719	20.8104998468748	8.36523943692785	58.2075960352291	26.8452037167264	15.1289199413331	16.8114310529556	11.0631788015085	28.3858058029681	21.5680595746038
gene-LOC117889573	12632.172299527	13974.3738324805	11962.7742351163	13356.5571744487	13042.4539371001	12415.1510743504	10757.6991355605	11543.3659152372	12150.4617935237	13473.2497527294	13680.1270547207	12837.103648713
gene-LOC117889574	8536.60110948192	8463.20753376639	8760.15804254888	6713.27806423957	5378.8489579446	7264.3079851966	10457.2393555002	6025.09236663591	6890.58530283018	5660.09247760253	5760.48723569265	7415.30429183996
gene-LOC117903560	9305.98559529532	10427.7883907189	9007.22882047774	6354.76990778659	5515.8297537243	7142.60119348657	10395.2888853847	5961.74001438158	6521.78453410597	6453.23729629529	6584.59127513366	7618.6602821148
gene-LOC117903561	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117901271	1106.69079681239	1082.58745117329	1126.80815038686	1348.89876280198	1424.18201413697	1210.71799753277	1000.50009236569	1503.43641916998	1322.84948097944	1246.73514955461	1379.91643048622	1197.54083161848
gene-LOC117901264	5914.57954392182	5770.69776981676	6777.38920544612	7575.96787607365	7875.87292986757	7485.49685013047	6398.45105509821	8551.62199683854	8219.73907045448	7566.36328647784	7128.49994116472	7399.89853500096
gene-LOC117892203	4964.82280116938	5287.82447497634	4828.73474353857	4386.28580863448	3762.2664367583	4174.01379568989	5164.60419196405	3907.04357484927	4112.49632132927	3980.19132728116	4178.20747996591	4192.4199611206
gene-LOC117892210	0	0	0	0	0	2.11663985582651	0	0	0	0	0	0
gene-LOC117901014	18.3429413836307	21.7137884189486	8.27015156247239	0	9.41089436654383	14.8164789907856	46.4628525866418	6.61890247433323	7.35500108566808	6.80811003169752	14.6507384789513	9.24345410340162
gene-LOC117901031	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902670	3.05715689727179	2.06797984942367	0	0	0	0	0	0	4.2028577632389	0	3.66268461973781	0
gene-LOC117889582	3517.76853646074	3735.80559798387	3159.19789686445	3569.00072373903	3310.5435071642	3389.79872910616	3229.68450868923	3100.48303047695	3073.33973936845	3403.2040020948	3483.21307337066	3262.93929850077
