ABS(NL1-PT1),ABS(NL2-PT2),ABS(NL3-PT3),ABS(WNL1-WPT1),ABS(WNL2-WPT2),ABS(WNL3-WPT3)
gene-LOC117889666,235.2141613,247.0960665,146.9477515,673.1788205,24.25321521,10.8906015
gene-LOC117889660,10.70236641,44.26326168,26.8534416,19.18607993,22.9025843,4.084537839
gene-LOC117889668,96.8089364,215.2873439,282.5652635,859.135184,72.99805069,68.38642882
gene-LOC117889648,0,0,0,0,0,0
gene-LOC117889634,70.44797803,360.1583879,157.8579966,330.7692916,78.54426048,78.83191282
gene-LOC117889670,0,0,0,0,0,0
gene-LOC117889671,0.214726933,19.62247856,0.960115997,25.56262102,5.763004002,4.084537839
gene-LOC117889667,6846.483593,15106.83357,7762.557716,37892.42155,357.2379397,2050.595652
gene-LOC117892165,14.76467201,26.33967832,36.32659131,9.929881785,11.41726807,6.635582433
gene-LOC117898628,25.28687428,860.0320822,89.27290583,25.59606364,677.187372,611.6528135
gene-LOC117896600,209.309451,322.1000846,89.64140463,43.43023211,171.213009,90.28427613
gene-LOC117894609,219.356734,273.8255153,216.1019463,1881.175524,601.2707923,567.0168669
gene-LOC117902127,1.608650733,20.58647846,38.56598607,15.78202492,13.25688586,4.756628522
gene-LOC117889573,724.3848749,931.9198954,452.3768392,2715.550617,2136.761139,686.6418552
gene-LOC117889574,1823.323045,3084.358576,1495.850057,4797.146878,264.6051309,524.718989
gene-LOC117903560,2951.215688,4911.958637,1864.627627,3942.051589,622.8512608,1096.875748
gene-LOC117903561,0,0,0,0,0,0
gene-LOC117901271,242.207966,341.594563,83.90984715,246.2350572,123.5199887,125.3086494
gene-LOC117901264,1661.388332,2105.17516,708.1076447,1167.912231,1423.122056,819.8405355
gene-LOC117892203,578.5369925,1525.558038,654.7209478,1184.412865,271.1639051,79.92363979
gene-LOC117892210,0,0,2.116639856,0,0,0
gene-LOC117901014,18.34294138,12.30289405,6.546327428,39.65474255,8.031836005,1.888453018
gene-LOC117901031,0,0,0,0,0,0
gene-LOC117902670,3.057156897,2.067979849,0,0,3.66268462,4.202857763
gene-LOC117889582,51.23218728,425.2620908,230.6008322,173.5194934,382.7300429,189.5995591
gene-LOC117889584,1006.983233,2213.901374,25.16153968,1761.767236,297.1876743,609.017398
gene-LOC117889583,2254.265855,2874.781337,1468.450927,0.81098852,1016.422881,438.2186306
gene-LOC117889585,0.950566342,0.963999895,8.812900856,0.895346283,5.235855285,12.18262156
gene-LOC117894309,1027.075495,2677.51839,774.8398867,3188.117951,625.742008,581.2745724
gene-LOC117894395,3.486610762,1.962994805,1.601069221,9.155408965,13.5665547,8.642355375
gene-LOC117894248,0,0,0,1.032507835,0.059772683,0
gene-LOC117893770,6.182799751,1.99798982,14.9392339,9.486188722,2.219864748,12.7505572
gene-LOC117892238,8.956743759,6.670539744,7.950988789,13.57188753,23.00051881,12.80738427
gene-LOC117902179,41.27856991,51.48952615,31.18229756,4.404354446,3.654409135,40.1637886
gene-LOC117892263,0.53501607,1.239764501,25.02615818,10.7403592,34.82286029,29.09337433
gene-LOC117898513,142.7306858,5.960720256,156.0200464,681.1856292,180.5421345,372.4377016
gene-LOC117898613,5.241502471,6.157279529,0.049101965,1.45195265,2.717127123,8.121747708
gene-LOC117898579,12501.65429,14775.43373,1091.582259,11282.51912,2772.071063,6321.018241
gene-LOC117898557,2698.966795,2894.683021,2128.129672,2434.98122,1087.764441,1089.277018
gene-LOC117898460,104.456229,267.3769996,206.8913301,296.7646276,315.8419285,11.72984813
gene-LOC117898580,86.17503693,939.3293546,292.4979788,1211.31723,80.50115401,143.4117654
gene-LOC117898550,69.15137938,43.82183455,102.5816543,222.1998264,58.88663767,18.22143592
gene-LOC117898586,150.7373317,768.2735513,433.0633767,962.1354064,201.2908929,158.4935732
gene-LOC117898434,9.32698073,5.578224795,3.09867916,14.85447023,13.7242619,18.61939301
gene-LOC117898574,7.813084637,188.0956108,65.30635958,177.0885051,55.18304861,78.29663759
gene-LOC117898502,93.29810196,528.88621,296.4866506,902.4602261,39.12876307,11.58319845
gene-LOC117898518,70.34808236,33.19777968,51.49556898,6.941843168,1.174528452,4.89411422
gene-LOC117898421,4000.685078,8118.455635,3651.054919,5005.878299,1498.494745,1525.444422
