C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C
gene-LOC117889666	153.898550617542	381.882524913571	399.122155266214	55.4727771042622	65.4912794417448	59.3602458165002
gene-LOC117889660	25.6497584362571	16.6035880397205	46.7057841268973	1.04665617177853	2.2200433709066	1.88445224814286
gene-LOC117889668	70.2580339775737	67.3367737166442	436.486782567731	73.2659320244973	58.831149329025	20.7289747295715
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	237.539067257511	285.028261348535	322.694508513109	93.1523992882894	153.182992592556	142.276144734786
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	12.2672757738621	6.45695090433574	10.190352900414	5.23328085889266	5.55010842726651	3.76890449628573
gene-LOC117889667	6026.57802563188	15137.8601844363	6217.81366140259	1918.52076287005	1689.45300525993	1321.00102594815
gene-LOC117892165	32.3409997674546	27.6726467328675	22.0790979508969	30.3530289815774	47.730932474492	52.7646629480002
gene-LOC117898628	6565.22295279327	6139.63788846553	6857.25830590356	6105.14544998418	6276.06260955297	6605.00512974074
gene-LOC117896600	2639.69470515741	2271.92429676842	2508.5252056519	2068.19259543438	2308.84510574287	2416.81000824322
gene-LOC117894609	6934.35643289767	5471.80468064566	7100.97757943846	6502.87479526002	6456.99614428186	7507.65775660117
gene-LOC117902127	25.6497584362571	34.1295976372032	16.1347254256554	15.699842576678	16.6503252817995	34.862366590643
gene-LOC117889573	11755.3958120255	10481.4761608524	13197.3562021111	11895.247392263	12431.1328553915	14157.8897402973
gene-LOC117889574	8958.45693558491	9117.21467692207	8134.44920275545	5458.31193582505	7497.0864635516	6330.81732763595
gene-LOC117903560	8342.86273311474	8356.21689176821	8250.78906503517	5416.44568895391	6116.2194868477	5799.40179365966
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1223.38195672061	968.542635650361	1173.58897569767	1125.15538466192	1208.81361545865	1232.43177028543
gene-LOC117901264	5687.55513151787	5832.4715097307	5877.28603531375	7052.36928544375	5898.65523649885	6218.69241887145
