C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117889666	318.429654489452	333.93953799998	222.186370012384	87.366114747759	92.022978656737	80.430887167514
gene-LOC117889660	16.9696054116636	60.532846767368	27.0226666231278	6.43750319194013	17.1911059029069	1.03116522009633
gene-LOC117889668	111.799753300372	281.477737468261	302.253530377207	205.08045882895	70.7869066590284	28.8726261626973
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	238.572687846329	503.43150894861	338.283752541377	168.294726303578	150.674987031361	186.640904837436
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	9.98212083039034	21.1864963685788	4.00335801824115	10.1160764444774	2.02248304740081	3.093495660289
gene-LOC117889667	9708.61071963765	14809.3609616366	9716.14991027128	2979.64433455515	68.7644236116276	2214.94289276692
gene-LOC117892165	17.9678174947026	17.1509732507543	14.011753063844	32.1875159597007	42.4721439954171	49.495930564624
gene-LOC117898628	6014.22780031018	6196.54574741957	5722.80028707573	5944.57437610015	5310.02924095083	5672.43987574993
gene-LOC117896600	2353.78409180604	2438.46484394547	2083.74784849452	2132.65284315845	2105.40485234425	2009.74101396775
gene-LOC117894609	6186.91849067593	6861.39818108116	5918.96482996954	6353.81565044491	7065.54452609474	6167.39918139617
gene-LOC117902127	21.9606658268588	28.2486618247717	19.0159505866455	20.2321528889547	8.08993218960325	56.7140871052983
gene-LOC117889573	12373.8369813519	13635.0237343496	11581.7147467717	12985.3635814564	12613.2155251152	12096.5991969501
gene-LOC117889574	8362.02261961799	8257.68917984845	8481.11396164388	6526.70859331416	5201.82639791489	7077.91807074123
gene-LOC117903560	9115.67274231246	10174.5626608151	8720.31460323379	6178.16377763626	5334.29903751964	6959.33407043015
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1084.05832218039	1056.29817609057	1090.91505997071	1311.41136452952	1377.31095527995	1179.65301179021
gene-LOC117901264	5793.62292995855	5630.56363014468	6561.50379189725	7365.42329489265	7616.67115651146	7293.43160174136
gene-LOC117892203	4863.28926856617	5159.41630613867	4674.92132580111	4264.38604300377	3638.44700227406	4066.91562805994
gene-LOC117892210	0	0	0	0	0	2.06233044019267
gene-LOC117901014	17.9678174947026	21.1864963685788	8.0067160364823	0	9.10117371330366	14.4363130813487
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	2.9946362491171	2.01776155891227	0	0	0	0
gene-LOC117889582	3445.82811065075	3645.08625617501	3058.56552593624	3469.81422045573	3201.59066403549	3302.82219996856
gene-LOC117889584	5494.15930504684	4905.17834971572	5512.62399111807	6431.98533206133	7002.84755162531	5572.41684940058
gene-LOC117889583	14774.5370410607	14898.1424702287	13222.090694746	12472.2026127274	11986.2457804209	11875.9298398495
gene-LOC117889585	12.9767570795074	7.06216545619293	29.0243456322484	11.955363070746	6.06744914220244	20.6233044019267
gene-LOC117894309	3496.73692688574	4466.3152106523	3661.07090768153	2472.00122570501	1837.42584856364	2929.54039029368
gene-LOC117894395	16.9696054116636	11.0976885740175	21.017629595766	20.2321528889547	9.10117371330366	19.5921391818303
gene-LOC117894248	0	0	0	0	0	0
gene-LOC117893770	5.9892724982342	8.07104623564907	5.00419752280144	11.955363070746	6.06744914220244	19.5921391818303
gene-LOC117892238	18.9660295777416	34.3019465015085	21.017629595766	10.1160764444774	40.4496609480163	13.4051478612523
gene-LOC117902179	59.892724982342	68.6038930030171	20.0167900912058	19.3125095758204	18.2023474266073	50.5270957847203
gene-LOC117892263	71.8712699788105	73.6482969002977	71.0596048237804	70.8125351113415	71.7981481827288	95.898365468959
gene-LOC117898513	2762.05283376901	2776.43990506328	2484.08365031864	2602.59057617008	2757.65563513101	2347.96320615935
gene-LOC117898613	6.98748458127324	10.0888077945613	2.00167900912058	1.83928662626861	4.04496609480162	2.06233044019267
gene-LOC117898579	39318.5757388245	39820.5243651336	44154.0364226862	51178.1503759241	53757.5993999136	45500.1653367507
gene-LOC117898557	13840.2105313362	13501.8514714614	13368.2132624118	16360.4545406593	16181.8868622539	15527.2858842106
gene-LOC117898460	2149.15061478304	2197.34233765546	2049.71930533947	2031.49207871368	1919.33641198337	1861.25322227388
gene-LOC117898580	1974.46350025121	1385.19331019327	1483.24414575835	2043.44744178443	2281.36087746812	1777.72883944608
gene-LOC117898550	479.141799858736	443.907542960699	428.359307951803	408.321631031631	482.362206805094	531.050088349612
gene-LOC117898586	1712.93193449498	1422.52189903315	1389.16523232968	1846.64377277368	2152.93320395816	1820.00661347003
gene-LOC117898434	36.9338470724443	30.266423383684	40.0335801824115	27.5892993940291	35.3934533295142	43.308939244046
gene-LOC117898574	687.768125213894	622.479440924434	634.532245891223	675.01819184058	798.880803723321	702.223514885603
gene-LOC117898502	2200.05943101803	1880.55377290623	1861.56147848214	2274.27791338114	2375.40633917225	2162.35346654201
gene-LOC117898518	366.343834475326	338.983941897261	287.240937808803	295.205503516112	368.091914626948	339.253357411694
gene-LOC117898421	10322.5111507067	13023.6419819992	10058.4370208309	6355.65493707118	5057.21886002573	6565.42895635335
gene-LOC117898541	3251.17675445813	3168.89452827171	3343.80478473592	3621.55536712289	3886.20117558066	3403.876391538
gene-LOC117898528	4877.26423772872	4639.84270471876	4190.51500559393	4724.20769957092	5325.19786380634	4001.95221919387
gene-LOC117898596	12564.4954892123	10949.3830994374	12672.6298067424	14740.0430229166	15684.3560325933	12850.3809728405
gene-LOC117898426	5141.79043973406	4967.728958042	4890.10181928157	4229.43959710467	3400.80524420447	4337.08091572518
gene-LOC117898487	10408.357389848	10028.274947794	9593.04665121036	10846.273235106	11590.8503446541	9349.57505061345
gene-LOC117898397	5439.2576404797	7444.53127160681	5392.52325057083	2859.17106053455	1978.99966188169	2684.12306791076
