C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117889666	54.86907749691	64.3490942092732	58.4328971592084	86.1707307060753	92.8406740751151	79.1895212982195
gene-LOC117889660	1.03526561314924	2.18132522743299	1.85501260822884	6.34942226255292	17.3438621898567	1.0152502730541
gene-LOC117889668	72.4685929204471	57.8051185269742	20.4051386905172	202.274452078472	71.4159031347039	28.4270076455147
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	92.1386395702828	150.511440692876	140.053451921277	165.992039149598	152.013850958156	183.760299422791
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	5.17632806574622	5.45331306858247	3.71002521645767	9.9776635554403	2.04045437527726	3.04575081916229
gene-LOC117889667	1897.64186890257	1659.9884980765	1300.36383836841	2938.87544723878	69.3754487594267	2180.7575865202
gene-LOC117892165	30.0227027813281	46.8984923898093	51.9403530304074	31.7471113127646	42.8495418808224	48.7320131065966
gene-LOC117898628	6038.70432149954	6166.60641795306	6501.81919184207	5863.23792930601	5357.21296229043	5584.89175207059
gene-LOC117896600	2045.68485158291	2268.57823653031	2379.05367005348	2103.47288955146	2124.11300466362	1978.72278218243
gene-LOC117894609	6432.10525449626	6344.38442398885	7390.37023118369	6266.87977313973	7128.32736003109	6072.21188313655
gene-LOC117902127	15.5289841972387	16.3599392057474	34.3177332522335	19.9553271108806	8.16181750110902	55.8387650179753
gene-LOC117889573	11765.7936934412	12214.330611011	13936.7097256233	12807.6917638925	12725.2937114166	11909.9009531976
gene-LOC117889574	5398.91017257331	7366.3352930412	6231.91485734478	6437.40711390544	5248.0486532131	6968.67787424332
gene-LOC117903560	5357.49954804734	6009.55100157788	5708.80130182424	6093.63125140436	5381.69841479376	6851.9240928421
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1112.91053413544	1187.73158633726	1213.17824578166	1293.46802091435	1389.54942956381	1161.44631237389
gene-LOC117901264	6975.61970139961	5795.78112928945	6121.54160715516	7264.64612868376	7684.35117729414	7180.86518131163
gene-LOC117892203	4974.45127118212	4351.74382872881	4471.50789213561	4206.0387187797	3670.77742112378	4004.14707692536
gene-LOC117892210	0	0	0	0	0	2.03050054610819
gene-LOC117901014	18.6347810366864	11.9972887508814	11.130075649373	0	9.18204468874765	14.2135038227574
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	0	1.09066261371649	1.85501260822884	0	0	0
gene-LOC117889582	3458.82241353163	3976.55588961034	4094.01282636104	3422.33859951602	3230.0392760639	3251.84662459227
gene-LOC117889584	5536.60049912216	6060.81214442256	6102.99148107287	6343.97990061359	7065.0732743975	5486.41247558434
gene-LOC117889583	13572.3321883866	12531.7134316025	13160.3869490795	12301.5521035347	12092.7528550807	11692.637394764
