C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W
gene-LOC117889666	157.384638976503	400.611743230387	406.411646988945	323.939138381411	332.310950945084	229.333803555729
gene-LOC117889660	26.2307731627505	17.417901879582	47.5588097540254	17.2632142711097	60.2376346124019	27.8919490811022
gene-LOC117889668	71.8495090979686	70.6392687338604	444.458694792165	113.73411755084	280.105000947669	311.976615647883
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	242.919768855037	299.007315599491	328.588140118721	242.700482987953	500.976327859809	349.165881089353
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	12.545152382185	6.77362850872634	10.3764675826965	10.1548319241822	21.0831721143407	4.13214060460773
gene-LOC117889667	6163.09122484798	15880.2882081011	6331.37463670862	9876.58952945956	14737.1373079241	10028.705247383
gene-LOC117892165	33.0735835530332	29.02983646597	22.4823464291757	18.2786974635279	17.0673298068472	14.462492116127
gene-LOC117898628	6713.93746126574	6440.75305058322	6982.49797752282	6118.28623431975	6166.3258631562	5906.89499428675
gene-LOC117896600	2699.48869896654	2383.34957385614	2554.34043660711	2394.50936772215	2426.57271430292	2150.77918469832
gene-LOC117894609	7091.43250112967	5740.16633053781	7230.66849387565	6293.9648266081	6827.93588331575	6109.36988391253
gene-LOC117902127	26.2307731627505	35.8034649746964	16.4294070059361	22.3406302332007	28.1108961524542	19.6276678718867
gene-LOC117889573	12021.6773873284	10995.5343920939	13438.3902252238	12587.9296532162	13568.5271964435	11954.2827691302
gene-LOC117889574	9161.38264419019	9564.3634543216	8283.01524788745	8506.70270288739	8217.41732170849	8753.93987086147
gene-LOC117903560	8531.84408828418	8766.04295150742	8401.47991945656	9273.39251316314	10124.9424177679	9000.83527198678
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1251.09383302336	1016.04427630895	1195.02318327388	1102.81474696618	1051.14672398641	1126.00831475561
gene-LOC117901264	5816.38883174032	6118.52186581095	5984.62767832018	5893.86444879532	5603.10397953025	6772.57845095207
gene-LOC117892203	5930.43567157836	5452.77094952471	5681.9807071582	4947.43411346155	5134.25439013039	4825.30719103067
gene-LOC117892210	0	0	0	0	0	0
gene-LOC117901014	6.84281039028273	7.74128972425868	10.3764675826965	18.2786974635279	21.0831721143407	8.26428120921546
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	0	0.967661215532335	0	3.04644957725465	2.00792115374673	0
gene-LOC117889582	4464.93377965948	3686.7892311782	3946.51650395222	3505.44798022768	3627.30956424347	3156.9554219203
gene-LOC117889584	6277.13806468602	5150.86065027862	6262.19818615731	5589.21949106986	4881.2563247583	5689.95761254484
gene-LOC117889583	15971.1194509199	13213.413898094	15320.8543858513	15030.166730982	14825.485838689	13647.4273818682
gene-LOC117889585	6.84281039028273	20.320885526179	10.3764675826965	13.2012815014368	7.02772403811355	29.958019383406
gene-LOC117894309	4025.853446283	4518.977876536	3463.14605572494	3557.23762304101	4444.53347381838	3778.84258291377
gene-LOC117894395	19.3879627724677	53.2213668542784	19.8882295335015	17.2632142711097	11.043566345607	21.6937381741906
gene-LOC117894248	0	0	0	0	0	0
gene-LOC117893770	44.4782675368377	24.1915303883084	25.9411689567411	6.09289915450929	8.03168461498692	5.16517575575966
