W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117889666	67.0749215879373	96.8493450676167	122.452423805789	785.514783822009	76.6122377682696	114.960997638221
gene-LOC117889660	6.09772014435793	22.5981805157772	4.2815532799227	27.5619222393687	30.84388793268	1.10539420805982
gene-LOC117889668	177.704987064145	79.6316837222626	58.2291246069487	922.264321086569	113.425910462113	19.8970957450767
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	185.544912964034	185.089859462556	251.755332859455	485.513860985803	159.194260297703	180.17925591375
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	3.48441151106168	2.15220766816926	8.5631065598454	34.9824397653526	8.95467714174579	1.10539420805982
gene-LOC117889667	2095.8735239036	92.5449297312782	3977.56299704819	40700.4785560894	1916.3009083336	2658.47307038385
gene-LOC117892165	43.555143888271	81.7838913904319	35.9650475513507	26.5018483070853	44.773385708729	22.1078841611963
gene-LOC117898628	6656.09708900557	6599.74481444104	6322.14157313386	5586.58962313359	5805.61568023186	5779.00091973671
gene-LOC117896600	2541.00709444173	2547.13777527832	2533.82323105825	2271.73843688335	2073.50524037758	2154.41331150858
gene-LOC117894609	7844.2814142776	7317.50607177548	7332.58814719562	4625.10256655253	7083.14961912092	6520.72043334485
gene-LOC117902127	11.3243374109504	18.2937651794387	10.2757278718145	27.5619222393687	15.9194260297703	17.686307328957
gene-LOC117889573	12962.0108211494	12087.8743682726	12594.6171282206	11044.9103004609	12146.5220607147	12782.7786220037
gene-LOC117889574	6615.15525375059	8969.32545709539	7996.22890558363	10736.4287861664	6339.91141635602	7249.17521645627
gene-LOC117903560	6251.03425084465	6709.50740551767	6715.18816423076	10672.8243502294	6273.24881985636	6861.18184942727
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1427.73761665752	1135.28954495928	1263.0582175772	1027.21164038263	1581.99296170842	1391.69130794731
gene-LOC117901264	6276.29623429984	6704.12688634724	6483.98428711494	6569.27815836031	8998.45556332766	8647.49888965193
gene-LOC117892203	4724.86200899963	4714.41089712476	5146.42704246708	5302.48980928163	4111.19177218818	4326.51293034612
gene-LOC117892210	0	0	0	0	0	0
gene-LOC117901014	6.09772014435793	12.9132460090156	16.2699024637063	47.7033269527536	6.96474888802451	7.73775945641871
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	2.61330863329626	1.07610383408463	0.85631065598454	0	0	4.42157683223926
gene-LOC117889582	4268.40410105055	3891.19146405002	3823.42707897097	3315.91126018252	3262.48737197605	3233.27805857496
gene-LOC117889584	7411.34328402819	6601.8970221092	6666.37845683964	4522.27539512104	6936.88989247241	6571.5685669156
gene-LOC117889583	15260.8513155724	13900.0332248712	15026.5393912167	12451.628408601	12314.6709981542	12681.0823548622
gene-LOC117889585	14.8087489220121	7.53272683859241	7.70679590386086	20.1414047133848	21.8892107909342	6.63236524835889
gene-LOC117894309	2876.38170238141	3050.75436962993	2978.24846151423	5757.26152623122	2153.10237052643	2688.31871400147
gene-LOC117894395	14.8087489220121	15.0654536771848	13.7009704957526	28.6219961716521	24.8741031715161	19.8970957450767
gene-LOC117894248	0.871102877765419	0	0	1.06007393228341	1.98992825372129	0
gene-LOC117893770	32.2308064773205	38.7397380270467	29.1145623034744	4.24029572913365	12.9345336491884	19.8970957450767
gene-LOC117892238	13.0665431664813	64.5662300450778	59.9417459189178	20.1414047133848	26.8640314252374	25.4240667853757
gene-LOC117902179	19.1642633108392	19.3698690135233	16.2699024637063	33.9223658330692	60.6928117384993	53.0589219868711
gene-LOC117892263	32.2308064773205	44.1202571974698	47.0970860791497	97.526801770074	90.5417355443186	111.644815014041
gene-LOC117898513	2885.96383403683	2695.640104382	2805.27370900535	2169.97133938415	2677.44846538199	2512.56103491996
gene-LOC117898613	5.22661726659251	1.07610383408463	1.71262131196908	8.4805914582673	0.994964126860644	4.42157683223926
gene-LOC117898579	55842.92108203	53889.1278032901	52411.3500101898	37156.6514004659	55675.207646741	53182.7261381738
gene-LOC117898557	17077.1008157133	16067.3063467176	15423.0112249375	12857.6367246655	17892.439893335	16819.6782698381
gene-LOC117898460	2391.17739946608	2040.29286942446	2016.61159484359	1716.25969636685	1617.81167027541	2282.63903964352
gene-LOC117898580	2459.12342393178	2500.86531041268	2341.15333346173	1215.90480032907	2222.74985940668	1997.44733396409
gene-LOC117898550	424.227101471759	389.549587938636	453.844647671806	327.562845075575	539.270556758469	611.282997057078
gene-LOC117898586	2197.79256060215	1986.48767772023	1961.80771286058	1120.49814642357	2250.60885495878	1759.78757923123
gene-LOC117898434	20.9064690663701	25.8264920180311	38.5339795193043	27.5619222393687	30.84388793268	54.1643161949309
gene-LOC117898574	807.512367688543	698.391388320925	680.766971507709	615.902954656663	861.638933861317	826.834867628742
gene-LOC117898502	2705.64553833939	2430.91856119718	2506.42129006675	1513.78557530071	2385.92397621182	2385.44070099308
gene-LOC117898518	396.351809383266	333.592188566235	350.231058297677	386.926985283446	357.192121542971	347.093781330782
gene-LOC117898421	6890.42376312447	6721.3445476926	8426.95316554386	11269.645974105	5441.45880980086	6751.74782282935
gene-LOC117898541	4221.36454565122	4097.80340019427	3796.88144863545	2736.05081922349	4137.06083948656	3746.18097111471
gene-LOC117898528	5926.98398031591	5673.21941329417	5026.54355062925	4249.8363945242	5608.61278311345	4318.7751708897
gene-LOC117898596	18050.993833055	16255.6245176824	15840.890825058	11042.7901525963	17485.499565449	15351.7147615347
gene-LOC117898426	4499.24636365839	4775.74881566759	4833.01734237674	6315.92048854458	4075.3730636212	4619.44239548197
gene-LOC117898487	13904.5441348916	12520.4681095747	11809.3802566828	7989.77722762008	11238.119812891	10491.2964286957
gene-LOC117898397	2679.51245200643	2668.73750852988	3619.62514284665	6467.5110608611	2255.58367559308	2733.63987653192
gene-LOC117898442	50440.3410341288	44155.7686239946	43949.2881077505	32156.282661885	44208.2460846721	43144.6413347826
gene-LOC117898452	2588.04664984106	3319.78032815108	3700.97465516518	5353.37335803124	5948.89051449979	6049.82250071137
gene-LOC117898471	1102.81624325102	875.948520944889	726.15143627489	755.832713718073	985.014485592037	790.356858762768
gene-LOC117898505	3127.25933117785	2816.16373379948	3046.75331399299	3159.02031820457	4237.55221629948	4320.98595930582
gene-LOC117898572	975.635223097269	945.89527016039	809.21356990539	1082.33548486136	1569.05842805924	1449.17180676642
gene-LOC117903746	2440.8302634987	2965.74216673724	2689.67177044744	3400.71717476519	2574.96716031535	2825.38759580089
gene-LOC117892013	13.9376460442467	11.8371421749309	1.71262131196908	13.7809611196844	13.929497776049	8.84315366447852
gene-LOC117890087	7355.5926998512	8763.78962478523	7937.99978097668	8997.90753722161	11555.5133693595	11898.4632555558
gene-LOC117903363	4806.74567950958	4929.63166394169	6057.54158043463	10429.0073458042	3581.87085669832	4591.80754028047
gene-LOC117903365	1540.10988788926	1461.34900668693	1388.93588400692	762.193157311774	1418.81884490328	1245.77927248341
gene-LOC117890272	0.871102877765419	1.07610383408463	0	0	0	1.10539420805982
gene-LOC117903464	3039.27794052355	2837.68581048117	2660.55720814397	1982.33825336998	2415.77290001764	2355.59505737547
gene-LOC117903466	4249.23983773971	4577.74571019602	3805.4445551953	5909.91217248003	5639.45667104613	5560.13286654087
gene-LOC117903463	5378.1891673237	5430.01994679104	5803.21731560723	7621.93157311774	4804.68176861005	4699.03077846227
gene-LOC117903469	0	0	0	0	0	0
gene-LOC117903467	0	0	0	0	0	0
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	1.74220575553084	0	0.85631065598454	0	0	4.42157683223926
gene-LOC117894778	0	0	0	1.06007393228341	0	0
gene-LOC117897509	1858.06243827364	1942.36742052276	2416.50867118837	2383.04619977311	2254.58871146622	2386.54609520114
gene-LOC117900915	723.015388545298	724.217880338956	710.737844467168	880.921437727516	567.129552310567	571.488805566924
gene-LOC117901768	793.574721644297	806.001771729388	794.656288753653	778.094266296025	758.162664667811	737.297936775897
