W_NL1_G23_C	W_NL2_G23_C_edited	W_NL3_G23_C	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117889666	137.94629966754	119.915416081709	124.421988592501	101.556393462446	107.129385121365	131.776972884133
gene-LOC117889660	6.60820597209775	5.89747947942832	6.78665392322735	8.46303278853718	7.07458203631656	5.63149456769799
gene-LOC117889668	39.6492358325865	34.4019636299986	108.586462771638	43.25550091919	38.4048739114327	95.7354076508658
gene-LOC117889648	0.826025746512218	0	0	0	0	0
gene-LOC117889634	199.072204909445	234.916265930562	252.237304146617	157.03627507619	253.674298730779	101.366902218564
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	14.8684634372199	0.982913246571387	4.52443594881824	9.40336976504131	3.03196372984995	5.63149456769799
gene-LOC117889667	4577.83468717071	92.3938451777104	160.617476183047	1933.33282369249	2404.34723777101	5019.91425764599
gene-LOC117892165	31.3889783674643	16.7095251917136	18.0977437952729	39.4941530131735	34.3622556049661	15.7681847895544
gene-LOC117898628	7028.65307707246	7377.74682876483	7133.90438229915	6040.72473706254	6837.07821081164	6694.72074207937
gene-LOC117896600	2804.35740940898	2628.31002133189	2675.07275473878	2396.91895310903	2363.92105470635	2146.72572920647
gene-LOC117894609	8686.48675032249	7876.08384477653	8400.74644796826	7056.288671687	8093.32184954614	7418.93094348533
gene-LOC117902127	37.1711585930498	19.6582649314277	13.5733078464547	12.2243806945537	31.3302918751162	23.6522771843315
gene-LOC117889573	14346.4151654242	14032.0695080531	12797.3670812324	14887.4150120134	15099.1793746528	14077.6101203314
gene-LOC117889574	9815.66394580469	8073.64940733738	9061.31409649572	6254.18123072898	6358.02794149535	8131.87815575589
gene-LOC117903560	8248.69310467101	7762.06590817425	7780.89872298016	7130.57529283083	7267.61706045034	8354.88534063673
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1357.16030151957	1327.91579611794	1379.95296438956	1377.59367057855	1523.05644696129	1313.26453318717
gene-LOC117901264	6348.0078619464	6690.69046941143	6542.33438199117	8360.53605809823	7867.94587896063	8114.9836720528
gene-LOC117892203	5859.00062001116	5068.88361256864	5231.37906582108	4397.95603910982	4611.61683310178	4597.55216506864
gene-LOC117892210	0	0	0	0	0	0
gene-LOC117901014	13.2164119441955	12.777872205428	12.4421988592501	7.52269581203305	16.1704732258664	10.1366902218564
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	0	0	1.13110898720456	0	4.0426183064666	0
gene-LOC117889582	4876.02998166162	4606.91438668009	4383.04732541767	3760.40756904002	3844.53000944974	3578.2516483153
gene-LOC117889584	7235.98553944703	6484.27868763144	6888.45373207576	6813.68173174894	6948.25021423947	6182.25473641885
gene-LOC117889583	17497.7033883683	13906.256612492	16043.6498745095	13401.6825891369	14039.0027237819	13699.1736853821
gene-LOC117889585	12.3903861976833	12.777872205428	13.5733078464547	20.6874134830909	17.1811278024831	20.2733804437128
gene-LOC117894309	3579.16955963744	4152.80846676411	3419.34246831938	2673.37802420125	2949.09005456739	3439.71688194993
gene-LOC117894395	20.6506436628055	17.692438438285	20.3599617696821	20.6874134830909	11.1172003427832	11.262989135396
gene-LOC117894248	0	0	0	0	2.0213091532333	0
gene-LOC117893770	42.9533388186353	15.7266119451422	21.4910707568866	15.0453916240661	11.1172003427832	6.75779348123758
gene-LOC117892238	15.6944891837321	28.5044841505702	72.3909751810918	36.6731420836611	53.5646925606825	40.5467608874255
gene-LOC117902179	21.4766694093177	39.3165298628555	14.7044168336593	41.3748269661818	59.6286200203824	11.262989135396
gene-LOC117892263	42.9533388186353	39.3165298628555	71.2598661938872	93.093360673909	133.406404113398	84.4724185154698
gene-LOC117898513	3143.8539912255	3070.62098228901	3094.71418899167	3088.06663083957	3007.70802001115	3027.49147959444
gene-LOC117898613	1.65205149302444	1.96582649314277	6.78665392322735	7.52269581203305	4.0426183064666	13.5155869624752
gene-LOC117898579	48715.6944263046	50019.4722047713	52587.5190331144	52455.7578973065	55339.4019972213	48505.1890104963
gene-LOC117898557	16722.8912381399	16993.5871199727	17276.5586705624	16528.3030360131	17567.1978507506	16338.0920398054
gene-LOC117898460	2036.15346515262	2043.47663962191	1918.36084229893	2174.99942665406	2045.5648630721	2392.2588923581
gene-LOC117898580	2389.69248465985	2286.25621152505	2252.03799352428	2647.04858885913	2242.64250551235	1924.84484323917
gene-LOC117898550	446.053903116598	458.037572902266	438.870287035369	598.054317056628	630.64845580879	617.211804619699
gene-LOC117898586	2196.40245997599	2135.87048479962	2111.78047911091	2269.03312430447	2138.54508412083	2008.1909628411
gene-LOC117898434	23.9547466488543	17.692438438285	30.5399426545231	46.0765118487024	47.5007651009826	36.0415652332671
gene-LOC117898574	698.817781549337	636.927783778259	799.694053953623	858.527659548272	842.885916898287	776.019951428783
gene-LOC117898502	2676.32341869959	2711.85764729046	2687.51495359803	2626.36117537604	2545.83887849734	2499.25728914437
