C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117889666	87.2518582021568	94.5440691735952	80.5443503692422	766.35629833667	71.6266806101904	106.784284896049
gene-LOC117889660	6.42908428857997	17.6620788566057	1.03261987652875	26.8896946784796	28.8367155703364	1.02677197015431
gene-LOC117889668	204.812256621905	72.7262070566117	28.9133565428049	899.770552702972	106.044695968334	18.4818954627776
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	168.074632115734	154.802926449074	186.904197651703	473.67231395168	148.834661008188	167.363831135153
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	10.1028467391971	2.07789163018891	3.09785962958624	34.1292278611472	8.37194968171057	1.02677197015431
gene-LOC117889667	2975.74758499987	70.6483154264228	2218.06749478375	39707.8052879057	1791.59723188606	2469.38658822112
gene-LOC117892165	32.1454214428999	43.635724233967	49.5657540733798	25.8554756523843	41.8597484085528	20.5354394030863
gene-LOC117898628	5936.80012019728	5455.50447506097	5680.44194078463	5450.3342675226	5427.81404364235	5367.96385996675
gene-LOC117896600	2129.86378074528	2163.08518702665	2012.57613935453	2216.33137292238	1938.57145963165	2001.17856983076
gene-LOC117894609	6345.50619282843	7259.11441006494	6176.09948151843	4512.2976108541	6622.21219823306	6056.92785194029
gene-LOC117902127	20.2056934783942	8.31156652075563	56.794093209081	26.8896946784796	14.8834661008188	16.428351522469
gene-LOC117889573	12968.3814506785	12958.7711516731	12113.6637715587	10775.5280328877	11356.0846349247	11873.5910628645
gene-LOC117889574	6518.17302800744	5344.33727284587	7087.90283249331	10474.5702962939	5927.34037465108	6733.57058027198
gene-LOC117903560	6170.08403581146	5480.43917462324	6969.1515466925	10412.5171547282	5865.0158603539	6373.17361874782
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1309.69631364501	1415.04420015865	1181.31713874888	1002.15823628641	1479.04444376887	1292.70591042428
gene-LOC117901264	7355.79086674814	7825.33987929142	7303.72038668782	6409.05530471301	8412.87921348782	8032.43712251719
gene-LOC117892203	4258.8091208779	3738.12704270984	4072.65279302937	5173.16356852904	3843.65512053645	4018.78549118398
gene-LOC117892210	0	0	2.06523975305749	0	0	0
gene-LOC117901014	0	9.35051233585008	14.4566782714024	46.5398561742917	6.51151641910822	7.18740379108019
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	0	0	0	0	0	4.10708788061725
gene-LOC117889582	3465.27643154461	3289.30245058904	3307.48146452157	3235.03711362632	3050.18033403655	3003.30801270136
gene-LOC117889584	6423.57364490405	7194.69976952909	5580.27781276134	4411.97836532285	6485.47035343179	6104.15936256739
gene-LOC117889583	12455.8915888174	12314.6247463146	11892.6831179816	12147.9366805162	11513.2912456146	11779.1280416103
gene-LOC117889585	11.9397279645057	6.23367489056672	20.6523975305749	19.650161495812	20.4647658886258	6.16063182092588
gene-LOC117894309	2468.76836681471	1887.76454602662	2933.67306921817	5616.84353072396	2012.98879013574	2497.10943141529
gene-LOC117894395	20.2056934783942	9.35051233585008	19.6197776540462	27.923913704575	23.2554157825294	18.4818954627776
gene-LOC117894248	0	0	0	1.03421902609537	1.86043326260235	0
gene-LOC117893770	11.9397279645057	6.23367489056672	19.6197776540462	4.13687610438148	12.0928162069153	18.4818954627776
gene-LOC117892238	10.1028467391971	41.5578326037781	13.4240583948737	19.650161495812	25.1158490451317	23.6157553135492
gene-LOC117902179	19.2872528657399	18.7010246717002	50.5983739499085	33.0950088350519	56.7432145093716	49.285054567407
gene-LOC117892263	70.7199271743797	73.7651528717062	96.0336485171733	95.1481504007741	84.6497134484069	103.703968985586
gene-LOC117898513	2599.18693381162	2833.20523776257	2351.27545885595	2117.04634641722	2503.21295483146	2333.85268816075
gene-LOC117898613	1.83688122530856	4.15578326037781	2.06523975305749	8.27375220876296	0.930216631301174	4.10708788061725
gene-LOC117898579	51111.2200942108	55230.3595304211	45564.3520518309	36250.4110836688	52052.1320377198	49400.0530280643
gene-LOC117898557	16339.0584991197	16625.2109331414	15549.1901007699	12544.0425675107	16728.085680689	15623.362297868
gene-LOC117898460	2028.83531335331	1971.91915704927	1863.87887713439	1674.4006032484	1512.53224249571	2120.28411836866
gene-LOC117898580	2040.77504131781	2343.86175885309	1780.23666713556	1186.24922293139	2078.10395432682	1855.37695006884
gene-LOC117898550	407.787632018501	495.577153800054	531.799236412304	319.573679063469	504.177414165236	567.804899495335
