C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117889666	332.912347474667	348.076122910008	232.49513752582	93.0469821630347	98.392864335394	123.375056797244
gene-LOC117889660	17.7414103669885	63.095369711784	28.2764356450321	7.75391518025289	6.49764198441281	5.27243832466853
gene-LOC117889668	116.884585947219	293.393469159796	316.277169066656	39.6311220324037	35.2729136296695	89.6314515193651
gene-LOC117889648	0	0	0	0	0	0
gene-LOC117889634	249.423357512368	524.743158103003	353.979083260032	143.878203900248	232.986876869659	94.9038898440336
gene-LOC117889670	0	0	0	0	0	0
gene-LOC117889671	10.4361237452874	22.0833793991244	4.1891015770418	8.6154613113921	2.78470370760549	5.27243832466853
gene-LOC117889667	10150.1739546665	15436.282199988	10166.9495274804	1771.33884562222	2208.27004013115	4699.85152260953
gene-LOC117892165	18.7850227415173	17.8770214183388	14.6618555196463	36.1849375078468	31.5599753528622	14.7628273090719
gene-LOC117898628	6287.76455653565	6458.86267949629	5988.32070438125	5534.57234643829	6279.50686065038	6267.87468036595
gene-LOC117896600	2460.83797913876	2541.6918098897	2180.42737085026	2196.08108827385	2171.14065736308	2009.85348936364
gene-LOC117894609	6468.30949732912	7151.86015683071	6193.5866816563	6465.04216806863	7433.30243016825	6945.91024891833
gene-LOC117902127	22.9594722396322	29.4445058654992	19.8982324909485	11.2000997048097	28.7752716452567	22.1442409636078
gene-LOC117889573	12936.6189946582	14212.2320275793	12119.0708623819	13639.998348196	13867.8244638753	13180.0413240064
gene-LOC117889574	8742.34086142724	8607.26001818253	8874.61169096305	5730.14331820689	5839.52367484871	7613.40094082136
gene-LOC117903560	9530.26820419643	10605.2800590557	9124.91051019129	6533.10431242863	6674.93478713036	7822.18949847824
gene-LOC117903561	0	0	0	0	0	0
gene-LOC117901271	1133.36303873821	1101.01420147063	1141.53017974389	1262.16508211894	1398.84949578716	1229.5326173127
gene-LOC117901264	6057.12622176479	5868.92097269111	6865.9374847715	7660.00665195872	7226.30612123624	7597.58362584736
gene-LOC117892203	5084.47948870401	5377.82867843439	4891.82336659056	4029.45125533809	4235.53433926795	4304.41864825939
gene-LOC117892210	0	0	0	0	0	0
gene-LOC117901014	18.7850227415173	22.0833793991244	8.37820315408359	6.89236904911368	14.8517531072293	9.49038898440336
gene-LOC117901031	0	0	0	0	0	0
gene-LOC117902670	3.13083712358621	2.1031789903928	0	0	3.71293827680732	0
gene-LOC117889582	3602.5499168732	3799.39284614459	3200.47360485993	3445.3229784257	3531.00430124376	3350.10731149439
gene-LOC117889584	5744.04250940617	5112.8281256449	5768.39287158655	6242.76326623472	6381.61266326258	5788.08279282112
gene-LOC117889583	15446.5067553998	15528.8220755652	13835.5552335748	12278.755460996	12894.1064007826	12825.7334685887
gene-LOC117889585	13.5669608688736	7.3611264663748	30.370986433553	18.9540148850626	15.7799876764311	18.9807779688067
gene-LOC117894309	3655.77414797417	4655.38669523446	3830.93339220472	2449.37565082877	2708.58847293094	3220.40532870754
gene-LOC117894395	17.7414103669885	11.5674844471604	21.9927832794694	18.9540148850626	10.2105802612201	10.5448766493371
gene-LOC117894248	0	0	0	0	1.85646913840366	0
gene-LOC117893770	6.26167424717243	8.4127159615712	5.23637697130225	13.7847380982274	10.2105802612201	6.32692598960224
gene-LOC117892238	19.828635116046	35.7540428366776	21.9927832794694	33.6002991144292	49.196432167697	37.9615559376134
gene-LOC117902179	62.6167424717243	71.5080856733552	20.945507885209	37.9080297701252	54.765839582908	10.5448766493371
gene-LOC117892263	75.1400909660691	76.7660331493372	74.3565529924919	85.2930669827818	122.526963134642	79.086574870028
gene-LOC117898513	2887.67544032102	2893.97429078049	2599.33752855443	2829.31749466117	2762.42607794464	2834.4628433418
gene-LOC117898613	7.30528662170116	10.515894951964	2.0945507885209	6.89236904911368	3.71293827680732	12.6538519792045
gene-LOC117898579	41106.8478203124	41506.2373754019	46202.6485685882	48060.4893794697	50826.4120712154	45412.565778035
gene-LOC117898557	14469.6855728409	14073.4222142134	13988.4574411368	15143.3963470339	16134.5732818662	15296.3980675283
gene-LOC117898460	2246.89744236037	2290.36192053776	2144.8200074454	1992.75620132499	1878.7467680645	2239.73180031919
gene-LOC117898580	2064.26527681784	1443.83237690466	1552.06213429399	2425.25235915688	2059.75250905886	1802.1194193717
gene-LOC117898550	500.933939773794	462.699377886416	448.233868743472	547.943339404538	579.218371181942	577.859240383671
gene-LOC117898586	1790.83883469131	1482.74118822692	1453.6182472335	2078.91081443891	1964.14434843107	1880.1515065768
gene-LOC117898434	38.6136578575633	31.547684855892	41.891015770418	42.2157604258213	43.627024752486	33.7436052778786
gene-LOC117898574	719.0489260503	648.830718536179	663.972599961125	786.591617730099	774.147630714326	726.542001139324
gene-LOC117898502	2300.12167346134	1960.16281904609	1947.93223332444	2406.29834427181	2338.22287981941	2339.9081284879
gene-LOC117898518	383.005741452047	353.33407038599	300.568038152749	388.557305143784	345.303259743081	343.762978768388
gene-LOC117898421	10791.9955650017	13574.9687934903	10525.1177123175	6044.6076560727	6761.26060206613	8155.40760059729
gene-LOC117898541	3399.0455038401	3303.04260441189	3498.94709222416	3815.78781481556	3999.76275869068	3771.90237746787
gene-LOC117898528	5099.09006194741	4836.26008840824	4384.9420757685	5090.87608890159	5184.19006899222	4639.74572570831
gene-LOC117898596	13135.9489581932	11412.9007913665	13260.6010421258	15282.9668202784	16105.7980102209	14227.1475752856
gene-LOC117898426	5375.64734119753	5178.02667434707	5116.98757635655	4050.12836248543	3884.66167210966	4383.50522312942
gene-LOC117898487	10881.7462292111	10452.7995822522	10038.1346539864	10931.2973118943	10940.1726326128	10753.6652069939
gene-LOC117898397	5686.64382880709	7759.67888505423	5642.7198242753	2348.57475348549	2848.75189288042	3466.10095463709
gene-LOC117898442	42454.1513958291	37948.7101131525	40308.5826496904	43168.6304468613	42448.1668495997	43044.1864825939
gene-LOC117898452	3177.79968044001	3373.49910059005	4399.60393128815	5205.46172434311	5008.75373541307	4803.19131377303
gene-LOC117898471	796.276241765427	779.227815940532	718.430920462668	1019.20907313769	867.899322203711	957.474799759806
gene-LOC117898505	2814.62257410401	2900.28382775167	3704.21306949921	3566.80098291633	3541.21488150498	3553.62343082659
gene-LOC117898572	1249.2040123109	1036.86724226365	1220.07583431342	1525.79819824754	1439.69181683204	1202.11593802443
gene-LOC117903746	2623.64150956525	2566.92995777441	2717.67964810587	2518.29934131991	2136.79597830261	2425.32162934753
gene-LOC117892013	15.6541856179311	15.773842427946	11.5200293368649	10.3385535736705	9.2823456920183	9.49038898440336
gene-LOC117890087	7715.42628489096	7245.45162190319	9071.49946508401	10401.4464412437	9281.4174574491	9200.40487654659
gene-LOC117903363	9414.42723062374	11897.6835486521	9629.69725022483	3935.54272704391	4283.80253686644	5520.24292592795
gene-LOC117903365	1073.87713339007	1135.71665481211	1120.58467185868	1321.61176516755	1392.35185380274	1406.68654502156
gene-LOC117890272	0	0	0	0	0	0
gene-LOC117903464	2370.04370255476	2540.6402203945	2307.14769355577	2482.11440381206	2600.91326290353	2348.34402980736
gene-LOC117903466	3751.78648643081	3619.57104246601	5461.54118106824	5171.86142522868	3853.10169675679	4524.80657023054
gene-LOC117903463	6404.64914248286	7597.73410279399	6791.58093177901	4640.28746231578	5070.9454515496	5416.90313476445
gene-LOC117903469	0	0	4.1891015770418	0	0	0
gene-LOC117903467	0	0	0	0	0	0
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	0	2.1031789903928	1.04727539426045	0	0	1.05448766493371
gene-LOC117894778	1.04361237452874	0	0	0.86154613113921	0	0
