C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	W_NL1_G23_C	W_NL2_G23_C	W_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117889666	163.151409445031	413.514851114978	421.667067800309	131.762113502233	113.696779633426	120.332651928547	338.957132057809	350.380235253721	235.641817891147	95.2161318485801	100.455764846811	126.453800089581
gene-LOC117889660	27.1919015741719	17.9789065702164	49.3440185723766	6.31195753304108	5.59164490000458	6.56359919610255	18.0635462225165	63.5130335807349	28.6591400137882	7.93467765404834	6.63387126346868	5.4040085508368
gene-LOC117889668	74.4821651814273	72.9144544236556	461.14228265821	37.8717451982465	32.61792858336	105.017587137641	119.006892760109	295.335606150417	320.557788302371	40.5550191206915	36.0124440016871	91.8681453642256
gene-LOC117889648	0	0	0	0.788994691630135	0	0	0	0	0	0	0	0
gene-LOC117889634	251.820653708635	308.637896122049	340.92231013642	190.147720682863	222.733855183516	243.947103455145	253.952208657732	528.216729279778	358.769974987422	147.232352025119	237.871669590091	97.2721539150624
gene-LOC117889670	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889671	13.0048224919952	6.99179699952862	10.7659676885185	14.2019044493424	0.931940816667429	4.3757327974017	10.6256154250097	22.2295617532572	4.24579852056121	8.81630850449816	2.84308768434372	5.4040085508368
gene-LOC117889667	6388.91461334021	16391.7686513234	6569.03461794439	4372.60858101421	87.6024367667384	155.33851430776	10334.4735623644	15538.4636655268	10304.5530094021	1812.63302852482	2254.56853368457	4817.13322221593
gene-LOC117892165	34.2854411152602	29.9648442836941	23.3262633251235	29.9817982819451	15.8429938833463	17.5029311896068	19.1261077650175	17.9953595145415	14.8602948219642	37.0284957188923	32.2216604225622	15.131223942343
gene-LOC117898628	6959.94454639782	6648.20011840892	7244.59909039892	6713.55583108082	6995.14776990572	6899.43668830313	6401.93329356834	6501.61753754789	6069.36898514225	5663.59658328962	6411.16272819509	6424.28536523479
gene-LOC117896600	2798.40134895934	2460.11371569128	2650.22237932364	2678.63697808431	2492.00974376871	2587.15201646375	2505.52011721729	2558.51670274394	2209.93812995211	2247.27703779658	2216.66069789332	2060.00805957899
gene-LOC117894609	7351.27147774786	5925.04854302911	7502.08515094932	8297.0681771825	7467.64176395611	8124.6418715756	6585.75644042101	7199.2023563763	6277.41311264975	6615.75790177542	7589.14872540817	7119.2408648724
gene-LOC117902127	27.1919015741719	36.9566412832227	17.046115506821	35.5047611233561	18.6388163333486	13.1271983922051	23.3763539350213	29.6394156710096	20.1675429726657	11.4612010558476	29.3785727382184	22.6968359135146
gene-LOC117889573	12462.166717102	11349.6841865205	13942.8253206055	13703.2598042322	13304.3870987442	12376.7602174507	13171.512880842	14306.3108140605	12283.0951199836	13957.9796243215	14158.5766680317	13508.9405753818
gene-LOC117889574	9497.06718892708	9872.41736333441	8593.93370735991	9375.6239206409	7654.96186810626	8763.49885999625	8901.07804153063	8664.23633097191	8994.72416580892	5863.72678634172	5961.95487406878	7803.38834740834
