C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117889666	57.4524794802031	66.9663717729771	61.3074542203575	63.6652379246545	92.7568687799245	117.402362341505	751.328088096713	74.3749160450398	110.278924601366	89.5489877523245	95.7191244416711	83.0519129364316
gene-LOC117889660	1.08400904679628	2.27004650077889	1.94626838794786	5.78774890224132	21.6432693819824	4.10497770424843	26.362389056025	29.9431480181329	1.06037427501313	6.59834646596075	17.8815946759166	1.06476811456964
gene-LOC117889668	75.8806332757399	60.1562322706405	21.4089522674264	168.671539436747	76.2667587746046	55.8276967777786	882.126095336222	110.113512066682	19.0867369502364	210.204465987035	73.6300957243623	29.8135072079498
gene-LOC117889648	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889634	96.4768051648693	156.633208553743	146.943263290063	176.112930882486	177.268682557189	241.372689009807	464.383622602287	154.545280093589	172.84100682714	172.499629038688	156.726918041857	192.723028737104
gene-LOC117889670	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889671	5.42004523398142	5.67511625194721	3.89253677589571	3.30728508699504	2.06126375066499	8.20995540849685	33.4599553403395	8.69317200526439	1.06037427501313	10.3688301607955	2.10371702069607	3.19430434370891
gene-LOC117889667	1986.98858277759	1727.50538709273	1364.33413995145	1989.33197982752	88.6343412785945	3813.52428724679	38929.137131424	1860.33880912658	2550.20013140658	3054.09179281612	71.5263787036663	2287.12191009558
gene-LOC117892165	31.4362623570923	48.805999766746	54.49551486254	41.341063587438	78.3280225252696	34.4818127156868	25.3484510154087	43.4658600263219	21.2074855002626	32.9917323298038	44.1780574346174	51.1088694993425
gene-LOC117898628	6323.02476996273	6417.42145770191	6821.67069975724	6317.74133743228	6320.86529141419	6061.41007809323	5343.45347404815	5636.07318341308	5543.63670976865	6093.1016508529	5523.30903783752	5857.28939824757
gene-LOC117896600	2142.00187646946	2360.84836081004	2496.08920754313	2411.83764969113	2439.50564891201	2429.32580537422	2172.86922104083	2012.952273219	2066.66946200059	2185.93792208043	2189.96941854461	2075.23305529622
gene-LOC117894609	6734.94820774532	6602.43024751539	7753.93325758426	7445.52555209758	7008.29675226096	7030.18481629585	4423.81167120912	6876.29905616413	6255.14784830246	6512.56796190326	7349.33541180171	6368.37809324099
gene-LOC117902127	16.2601357019443	17.0253487558416	36.0059651770353	10.7486765327339	17.5207418806524	9.85194649019622	26.362389056025	15.4545280093589	16.9659884002101	20.7376603215909	8.41486808278427	58.56224630133
gene-LOC117889573	12319.7628168398	12711.1253811114	14622.3143986522	12303.1005236215	11577.0878556099	12075.2024148172	10564.2204451817	11791.8048711409	12262.1681162519	13309.8074427665	13119.831199571	12490.7947520164
gene-LOC117889574	5653.10717904262	7665.9470331303	6538.48864931082	6278.88073766008	8590.31668089634	7666.45636045436	10269.1644753624	6154.76577972719	6953.93449553612	6689.78069556049	5410.76017723029	7308.56833840598
gene-LOC117903560	5609.74681717077	6253.97810964583	5989.64096390953	5933.2694460691	6425.9897426981	6438.24703134323	10208.3281929254	6090.049943688	6581.74312500651	6332.5273654749	5548.55364208588	7186.12000523047
gene-LOC117903561	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117901271	1165.30972530601	1236.0403196741	1272.8595257179	1355.16006439622	1087.31662847578	1210.96842275329	982.505961357241	1535.79372093004	1335.01121224153	1344.17743720858	1432.63129109402	1218.09472306766
gene-LOC117901264	7304.05295731337	6031.5135525695	6422.68568022793	5957.24726294982	6420.83658332144	6216.57823531382	6283.3740376995	8735.67195729013	8295.30795342773	7549.45097798281	7922.59829994139	7531.10487435104
gene-LOC117892203	5208.66346985615	4528.74276905388	4691.47994914831	4484.67857796527	4515.19824583166	4934.18320050661	5071.71807916297	3991.13185841694	4150.3049124014	4370.93322323714	3784.58692023223	4199.44544386264
gene-LOC117892210	0	0	0	0	0	0	0	0	0	0	0	2.12953622913927
gene-LOC117901014	19.5121628423331	12.4852557542839	11.6776103276871	5.78774890224132	12.3675825039899	15.598915276144	45.6272118277356	6.76135600409452	7.42261992509192	0	9.4667265931323	14.9067536039749
gene-LOC117901031	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902670	0	1.13502325038944	1.94626838794786	2.48046381524628	1.03063187533249	0.820995540849685	0	0	4.24149710005253	0	0	0
gene-LOC117889582	3621.67422534639	4138.29477091991	4295.41433220092	4051.42423156892	3726.7648612023	3665.74508989384	3171.59819104793	3167.21233391799	3101.59475441341	3556.50874515285	3330.18404376187	3410.45227096654
gene-LOC117889584	5797.28038226653	6307.32420241413	6403.22299634845	7034.59538003845	6322.92655516485	6391.4502855148	4325.45968126934	6734.31058007815	6303.92506495307	6592.6907404185	7284.12018416013	5754.00689113431
gene-LOC117889583	14211.3586034993	13041.4171469747	13807.8010782961	14485.0818597665	13312.6719336698	14406.8297508303	11909.7162250796	11955.0433232397	12164.6136829506	12783.8249673371	12467.6789231552	12262.9343754985
gene-LOC117889585	11.9240995147591	12.4852557542839	12.6507445216611	14.0559616197289	7.21442312732746	7.38895986764717	19.2648227717106	21.2499760128685	6.36224565007879	12.2540720082128	6.3111510620882	21.2953622913927
gene-LOC117894309	2610.29378468545	2970.35584626917	2977.79063356022	2730.16383931441	2921.84136656762	2855.42249107521	5506.69749858738	2090.22491326579	2578.83023683194	2533.76504292893	1911.22691330238	3025.00621349234
gene-LOC117894395	16.2601357019443	18.1603720062311	23.3552206553743	14.0559616197289	14.4288462546549	13.135928653595	27.3763270966414	24.1477000146233	19.0867369502364	20.7376603215909	9.4667265931323	20.2305941768231
