C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117889666	55.8212446579322	65.6732243063523	59.8866598375038	153.371669970395	388.682326540596	396.396082208122	319.050762062417	331.413903727113	220.675005170424	87.3227613990441	92.09850235114	80.902599530059
gene-LOC117889660	1.05323103128174	2.22621099343567	1.9011638043652	25.5619449950658	16.8992315887216	46.3867755775462	17.0027051882793	60.0750278659419	26.8388519801867	6.4343087346664	17.2052147249382	1.03721281448794
gene-LOC117889668	73.7261721897218	58.9945913260453	20.9128018480172	70.0175015082236	68.5357725542596	433.505502670159	112.017822416899	279.34887957663	300.197529556163	204.97869254723	70.8450018085692	29.0419588056622
gene-LOC117889648	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889634	93.7375617840748	153.608558547061	143.537867229572	236.725838432566	290.103475606387	320.490449444865	239.038031764632	499.62398175175	335.982665529745	168.211214063422	150.798646706812	187.735519422317
gene-LOC117889670	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889671	5.2661551564087	5.56552748358918	3.8023276087304	12.2252780411184	6.57192339561394	10.120751035101	10.0015912872231	21.0262597530797	3.97612621928692	10.1110565830472	2.02414290881626	3.11163844346381
gene-LOC117889667	1930.57248033943	1694.14656600455	1332.71582686	6005.94568492762	15407.4049779172	6175.34492325079	9727.54768595319	14697.3555674027	9650.05833420936	2978.16575718845	68.8208588997529	2227.93312552009
gene-LOC117892165	30.5436999071704	47.8635363588669	53.2325865222256	32.2302784720394	28.1653859812026	21.9282939093855	18.0028643170016	17.0212578953502	13.9164417675042	32.171543673332	42.5070010851415	49.786215095421
gene-LOC117898628	6143.49660546639	6293.49847844265	6663.57913430002	6542.74652982401	6248.96030302948	6810.42205070338	6025.95875055192	6149.68035254359	5683.87243047065	5941.62452298338	5314.3872070971	5705.70769249814
