gene	chr_name	meanPos	Pvalue	FC	Log2FC
gene-GU283_mgt01	NC_045530	33	0.7399313896	1.2840991998	0.360756658481541
gene-GU283_mgt02	NC_045530	130	0.0021541025	3.9374280931	1.97725357666175
gene-GU283_mgt03	NC_045530	230	0.9999081284	NA	#VALUE!
gene-GU283_mgp13	NC_045530	777.5	9.58391330263016E-05	1.6442791729	0.717455266881612
gene-GU283_mgt04	NC_045530	1321.5	0.4394179798	0.7930588634	-0.33450014348068
gene-GU283_mgt05	NC_045530	1378	0.4547127577	1.5934916693	0.67219147679321
gene-GU283_mgt06	NC_045530	1442.5	0.8561033545	0.9744860113	-0.0372866190737399
gene-GU283_mgp12	NC_045530	2241.5	1.56845092327344E-05	1.3472588801	0.43002709590117
gene-GU283_mgt07	NC_045530	3044.5	0.0861936095	1.8859941927	0.915325233714065
gene-GU283_mgp11	NC_045530	3426.5	0.0009720065	1.222372793	0.289684338014446
gene-GU283_mgt08	NC_045530	3806	0.193868825	2.4927979769	1.31776596765314
gene-GU283_mgt09	NC_045530	3931	0.1039564802	5.5929412487	2.48360717554889
gene-GU283_mgp09	NC_045530	4457	0.0018506215	1.6162884027	0.692684648598038
gene-GU283_mgp08	NC_045530	5196	0.0001545028	1.2643197442	0.338361364651599
gene-GU283_mgt10	NC_045530	5635.5	0.000000189	2.0311813022	1.02231901960008
gene-GU283_mgp07	NC_045530	5844.5	0.2510603901	1.2421803881	0.312874695394256
gene-GU283_mgt11	NC_045530	6056	0.722092294	0.6646502396	-0.589332747264608
gene-GU283_mgt12	NC_045530	6121	0.0450478679	1.3992064037	0.484608797120268
gene-GU283_mgt13	NC_045530	6185	0.7247292605	0.8007270741	-0.320617507607947
gene-GU283_mgp06	NC_045530	7295.5	0.00224874	1.2645358447	0.338607932404863
gene-GU283_mgp05	NC_045530	8906	0.0227700329	1.5004427956	0.585388317218522
gene-GU283_mgp04	NC_045530	9721	5.30341030456E-09	2.0067361758	1.00485095906042
gene-GU283_mgt18	NC_045530	9901	0.2091887727	2.1077540455	1.07570652824663
gene-GU283_mgp03	NC_045530	10264	0.1403601498	0.7533252283	-0.408655249966931
