gene	chr_name	meanPos	Pvalue	FC	Log2FC
gene-LOC117889666	NC_048530	8288	0.0301266686983513	3.60130465654711	1.8485196511522
gene-LOC117889660	NC_048530	9967	0.00589290668468313	2.25894253942245	1.17564757345583
gene-LOC117889668	NC_048530	74347	0.199765744723771	3.34244105123712	1.74090211653768
gene-LOC117889634	NC_048530	124108	0.213094629483916	1.54942933218574	0.631736956647191
gene-LOC117889671	NC_048530	156800.5	0.00043027963881935	2.84894919782169	1.51042989589687
gene-LOC117889667	NC_048530	158476.5	0.0143945896473264	8.35199825836354	3.06212141106362
gene-LOC117892165	NC_048530	226781	0.0723166377236914	0.704051425602568	-0.506247284274545
gene-LOC117898628	NC_048530	248036.5	0.0102369065962435	0.951581641350673	-0.071600656444863
gene-LOC117896600	NC_048530	261254.5	0.502760769205344	0.976299562335773	-0.0346042106380704
gene-LOC117894609	NC_048530	287469	0.066595398076787	0.869100699452047	-0.202404748476779
gene-LOC117902127	NC_048530	362624.5	0.407605242042066	0.682224699445421	-0.551681107273533
gene-LOC117889573	NC_048530	420647.5	0.000130764149410498	0.893913616270308	-0.161792672203447
gene-LOC117889574	NC_048530	436615.5	0.146210763178505	1.22084310713554	0.287877808760099
gene-LOC117903560	NC_048530	512694.5	0.213712508946195	1.21649314122201	0.28272818615971
gene-LOC117901271	NC_048530	558931.5	0.681319635758674	0.966168174198191	-0.0496537640410519
gene-LOC117901264	NC_048530	560185	0.819412217098164	1.01643419855481	0.0235168216839696
gene-LOC117892203	NC_048530	567248.5	0.168593572136595	1.0800371269564	0.111080906791749
gene-LOC117901014	NC_048530	580853	0.275292726728471	2.530276561323	1.33929508130031
gene-LOC117889582	NC_048530	599464	2.70932425440925E-08	0.92312360891891	-0.115404253046282
gene-LOC117889584	NC_048530	608441	0.26260053311814	0.885567243076107	-0.175326236730951
gene-LOC117889583	NC_048530	618002.5	0.0155334444218992	0.966646569213461	-0.0489395950990303
gene-LOC117889585	NC_048530	622268	0.649411171791441	1.19187650340031	0.253234758315107
gene-LOC117894309	NC_048530	720996.5	0.249006965818475	1.38911599716063	0.474167075590758
gene-LOC117894395	NC_048530	753150.5	0.0621145356730913	1.41657004165053	0.502401936868626
gene-LOC117893770	NC_048530	820215.5	0.773053650136767	0.918461672356453	-0.122708576332444
gene-LOC117892238	NC_048530	898646	0.724845171466765	1.05065746949652	0.0712924051678305
gene-LOC117902179	NC_048530	956296	0.0789642819245377	1.57047676569759	0.651202599302629
gene-LOC117892263	NC_048530	986898	0.0607153180107559	1.17871000952095	0.237208824945339
gene-LOC117898513	NC_048530	994489	0.0156384487741172	0.893423552956247	-0.16258380657116
gene-LOC117898613	NC_048530	1012706.5	0.333232672503762	1.65192540470752	0.72414854106224
gene-LOC117898579	NC_048530	1025399	0.331499936533068	0.906499138182037	-0.141622446502145
gene-LOC117898557	NC_048530	1041207	0.280602816496388	0.925423397510953	-0.111814519815688
gene-LOC117898460	NC_048530	1081244.5	0.238318252890281	0.904952901504353	-0.14408538615481
gene-LOC117898580	NC_048530	1086026.5	0.180529926821756	0.830467998163789	-0.268003519450994
gene-LOC117898550	NC_048530	1086825	0.553794761892537	0.969614602351142	-0.0445166689921894
gene-LOC117898586	NC_048530	1087778.5	0.0786343361662071	0.821937728363267	-0.28289899828528
gene-LOC117898434	NC_048530	1099110.5	0.931900263670701	0.988366461739428	-0.0168820383921853
gene-LOC117898574	NC_048530	1108168	0.784495254308897	0.989244225040408	-0.0156013567564894
gene-LOC117898502	NC_048530	1109915	0.181277700546547	0.861296125059853	-0.215418754239371
gene-LOC117898518	NC_048530	1112434.5	0.769525094016317	1.02085107580405	0.0297724177634375
gene-LOC117898421	NC_048530	1120453	0.259192608736725	1.23379539100634	0.30310316202727
gene-LOC117898541	NC_048530	1131847	0.225742845936826	0.909124999924075	-0.137449423820755
gene-LOC117898528	NC_048530	1133903	0.0651595692955669	0.943979824196445	-0.0831720698794758
gene-LOC117898596	NC_048530	1135774	0.574016031205514	0.946859218201036	-0.0787781573685731
gene-LOC117898426	NC_048530	1139412.5	0.102824895908034	1.18255757845071	0.241910429757471
gene-LOC117898487	NC_048530	1141912	0.115245773468518	0.873643586629973	-0.194883259867842
gene-LOC117898397	NC_048530	1150441.5	0.188600366068321	1.44627388028422	0.532340780721315
gene-LOC117898442	NC_048530	1164170.5	0.0985068183249781	0.883981050031188	-0.177912652102174
gene-LOC117898452	NC_048530	1170456	1.6894603616296E-52	1.19279719859303	0.254348774420203
gene-LOC117898471	NC_048530	1179502	0.00235966724717925	0.907091671639413	-0.140679736485856
gene-LOC117898505	NC_048530	1186365.5	0.972308109564671	1.00538218712592	0.00774403340118468
gene-LOC117898572	NC_048530	1202398.5	0.63136247740595	1.02768546655643	0.0393987808027276
gene-LOC117903746	NC_048530	1281884	0.101694096497301	1.16764571800955	0.223602604351576
gene-LOC117892013	NC_048530	1397236.5	0.0485349572612021	0.650307650881693	-0.620805697675169
gene-LOC117890087	NC_048530	1399896	0.0536690654092198	1.10518466712628	0.144287452049207
gene-LOC117903363	NC_048530	1410482	0.173166592268057	1.41477892824509	0.500576636773252
gene-LOC117903365	NC_048530	1417561.5	0.0570855503089869	0.801655367989595	-0.318945940189771
gene-LOC117903464	NC_048530	1445632.5	2.57239659695195E-07	0.833779091823081	-0.262262899883488
gene-LOC117903466	NC_048530	1449743.5	1.73837481142669E-05	1.23436039610045	0.303763679540669
gene-LOC117903463	NC_048530	1521319.5	0.223408059527253	1.18176701977383	0.240945642497689
gene-LOC117903465	NC_048530	1559750	0.537940718376794	0.674635073313885	-0.567820770927004
gene-LOC117897509	NC_048530	1596415	0.617443662416759	1.02195554692326	0.0313324432147155
gene-LOC117900915	NC_048530	1603233.5	0.685641691997712	1.06054168266869	0.0848013244966062
gene-LOC117901768	NC_048530	1606825	0.495637173741194	1.04027622560764	0.0569666595214962
gene-LOC117892351	NC_048530	1618855	0.273181072687962	1.75661985669457	0.812802017072416
gene-LOC117893052	NC_048530	1692872.5	0.0222235699289316	2.01077751948219	1.00775346488748
gene-LOC117893057	NC_048530	1694397	0.16722705358014	3.11572635889946	1.63956853314471
gene-LOC117894235	NC_048530	1888017	0.262725569287207	1.04457224747321	0.0629122793525436
gene-LOC117894226	NC_048530	1894462.5	0.267588214842086	1.04917215969784	0.0692514305970118
gene-LOC117903638	NC_048530	1897957	0.200453785101903	0.957399386250607	-0.0628072136818769
gene-LOC117903819	NC_048530	1901134	0.881323335778007	1.00310107173381	0.0044669781761737
gene-LOC117903704	NC_048530	1906297	0.945425978078162	1.0088082261966	0.0126519450974207
gene-LOC117892367	NC_048530	1911061	0.597546153531712	0.950972102400835	-0.0725250759027993
gene-LOC117903337	NC_048530	1923475.5	0.515626229719751	1.07361690147886	0.102479288543249
gene-LOC117889610	NC_048530	2052672	0.340501140087517	1.12016092913666	0.163706013523061
gene-LOC117889612	NC_048530	2053719.5	0.308578113391353	1.09519207284302	0.131183909313043
gene-LOC117897219	NC_048530	2077400.5	0.193596757823001	1.4968680520521	0.581947054368991
gene-LOC117896423	NC_048530	2089406.5	0.237449033299725	1.22189355880404	0.289118615047071
gene-LOC117901738	NC_048530	2099972	0.0280414129532901	1.18408998042365	0.243778717266256
gene-LOC117895356	NC_048530	2107367.5	0.00219062961337447	1.29651473724503	0.374638605134118
gene-LOC117895424	NC_048530	2119198	0.370579078003329	1.09572822369918	0.131890007292059
gene-LOC117893958	NC_048530	2129665	0.246088615856247	0.890415915645246	-0.167448714676878
gene-LOC117893965	NC_048530	2131011.5	0.380087883330854	0.838723209303038	-0.253733315747942
gene-LOC117893974	NC_048530	2131375.5	0.707708517262672	0.949344710311351	-0.0749960650087536
gene-LOC117893951	NC_048530	2132200.5	0.0572722565713651	0.791345618588687	-0.337620168429547
gene-LOC117899032	NC_048530	2135191.5	0.823669301928084	1.02128813740373	0.0303899531478713
gene-Trnag-gcc	NC_048530	2144638	0.12414055993301	2.50710107414251	1.32602015980359
gene-LOC117902577	NC_048530	2197827.5	0.0694941535358053	1.37153473019192	0.455791154771871
gene-LOC117891248	NC_048530	2284549.5	0.437651437045869	0.67993882203378	-0.556523150170029
gene-LOC117901524	NC_048530	2297911	0.722092093896752	0.974398097357015	-0.0374167786959472
gene-LOC117892471	NC_048530	2312132	0.0333577927935693	1.44144764513209	0.527518437609793
gene-LOC117900768	NC_048530	2349780	0.056890268256123	1.27411262698397	0.349492812295491
gene-LOC117900589	NC_048530	2446895.5	0.134724606797674	1.43452572660647	0.520573841452523
gene-LOC117900761	NC_048530	2413945	0.310223752013836	2.32738633440868	1.21871071073177
